DATE,TOTAL_ACTIVE_USERS,SWAP_TXNS,MINT_LIQUIDITY_TXNS,BURN_LIQUIDITY_TXNS,INCREASE_LIQUIDITY_TXNS,DECREASE_LIQUIDITY_TXNS,TOTAL_ACTIVE_POOLS,TOTAL_TXN_FEE_ETH,AVG_TXN_FEE_ETH,TOTAL_TXN_FEE_USD,AVG_TXN_FEE_USD,VOLUME_USD,PROTOCOL_FEES_USD
2023-02-12 00:00:00.000,36033,180680,13,9,2805,1771,1521,46.325084532,0.0001438220569,71128.314938311,0.2208268083,118005135,169520
2023-02-13 00:00:00.000,41336,224142,12,30,4148,2352,1632,69.096526433,0.0001692986285,103344.759457651,0.253212816,152740053,231656
2023-02-14 00:00:00.000,39337,209524,8,12,5879,3175,1562,108.313461488,0.0002697484939,165218.961586438,0.411468394,229429076,415005
2023-02-15 00:00:00.000,41617,200035,11,22,7480,3353,1713,89.161755622,0.000249206935,141067.163641291,0.3942824503,207346103,340822
2023-02-16 00:00:00.000,46042,250957,17,13,6376,3691,1764,117.686078428,0.0002467653113,198984.362088471,0.4172323414,326258369,511857
2023-02-17 00:00:00.000,50652,265361,114,18,5708,3098,1702,98.368137682,0.0002129470852,164441.985201143,0.3559835761,353823630,642446
2023-02-18 00:00:00.000,47452,221593,236,15,4154,2263,1761,89.756381371,0.0002456709731,151994.006141241,0.4160207311,151750311,303967
2023-02-19 00:00:00.000,47795,237064,171,35,3914,2429,1806,91.350550031,0.0002168780434,154891.537936271,0.3677325826,195944605,291778
2023-02-20 00:00:00.000,58004,270727,175,16,3556,2143,1842,78.91348894,0.0001789080741,134033.198034345,0.3038722738,187576161,285779
2023-02-21 00:00:00.000,55439,295709,151,5,4540,2455,1835,95.240196004,0.0001985974677,160451.850616329,0.3345785977,250446955,342253
2023-02-22 00:00:00.000,58170,307197,78,11,4894,2895,1923,117.694607475,0.0002227356052,192271.914127805,0.363872246,241769302,363032
2023-02-23 00:00:00.000,58762,304596,152,8,4767,2533,1926,129.853484075,0.0002279186923,214873.974291675,0.3771465631,262977634,403835
2023-02-24 00:00:00.000,61706,323593,218,12,6164,3110,1939,133.041659543,0.0001977976399,217733.58593947,0.3237120581,266249260,459808
2023-02-25 00:00:00.000,53405,239232,114,5,3722,1924,1852,61.375250124,0.0001365232375,98064.204415961,0.2181342258,120750643,209998
2023-02-26 00:00:00.000,51005,209066,122,12,4458,1996,1797,51.514756782,0.000133702463,82763.084174917,0.2148050169,116655116,186608
2023-02-27 00:00:00.000,53208,232525,104,19,4503,2683,1920,63.368286265,0.0001477949945,103917.698035327,0.2423691174,177504134,272247
2023-02-28 00:00:00.000,45439,219091,54,7,3941,2588,1879,59.109691893,0.0001544216978,96415.961164471,0.251882829,151834090,210119
2023-03-01 00:00:00.000,46131,215226,65,12,3552,2087,1863,67.258798536,0.0001822682272,110822.544157319,0.3003239591,210143443,249015
2023-03-02 00:00:00.000,46905,219193,79,12,3843,2287,1938,67.200622034,0.0001678605522,110308.618739387,0.2755400932,198266725,265486
2023-03-03 00:00:00.000,44414,212540,107,5,3777,2409,1853,86.188559411,0.0002152819504,137698.079604456,0.3439425296,242128012,295879
2023-03-04 00:00:00.000,37957,168340,155,6,3302,1817,1859,58.585383942,0.0001868424485,91769.678924617,0.2926749021,104669130,147437
2023-03-05 00:00:00.000,35210,169553,83,3,2784,1593,1732,56.99438687,0.0001732009994,89494.064188488,0.2719647006,142867945,165667
2023-03-06 00:00:00.000,39572,187493,98,3,3789,2273,1831,80.624639242,0.0002352891165,126373.047085265,0.3687979615,169367969,198201
